PMID,Subtype,Off_target_1_accumulation_(%),Off_target_1_accumulation
24673744,Gold,287.3,Spleen
24698945,Iron_oxide,NA,NA
24703718,Silica,10.8,Liver
24704711,Gold,NA,NA
24712914,Gold,1687.1,Liver
24727059,Iron_oxide,NA,NA
24731706,Gold,NA,NA
24746227,Iron_oxide,NA,NA
24749476,Iron_oxide,NA,NA
24754567,Gold,1167.7,Spleen
24754735,Iron_oxide,NA,NA
24766522,Gold,166,Liver
24838472,Iron_oxide,34.50570486,Liver
24881997,Iron_oxide,NA,NA
24890678,Silica,NA,NA
24927683,Gold,1804.8,Spleen
24930850,Silica,NA,NA
24947231,Iron_oxide,102.1433356,Spleen
24953128,Gold,NA,NA
24976309,Iron_oxide,NA,NA
25034575,Silica,NA,Lung
25038495,Silica,NA,NA
25044204,Gold,NA,NA
25108151,Gold,90.9,Liver
25167961,Iron_oxide,NA,NA
25178270,Iron_oxide,NA,NA
25184691,Gold,2252.9,Spleen
25196485,Silica,NA,NA
25247850,Iron_oxide,NA,Liver
25262581,Iron_oxide,NA,NA
25266128,Gold,483.3,Liver
25277774,Silica,NA,NA
25286086,Gold,296.4,Spleen
25327162,Iron_oxide,NA,NA
25353068,Silica,12.3,Liver
25354691,Gold,NA,NA
25362857,Silica,NA,NA
25450403,Gold,NA,NA
25453956,Silica,NA,NA
25453970,Gold,NA,NA
25453972,Silica,NA,NA
25457979,Hybrid,NA,NA
25474753,Silica,NA,NA
25477173,Iron_oxide,NA,NA
25504837,Silica,NA,Liver
25521795,Hybrid,NA,Liver
25542798,Gold,1865.8,Liver
25554860,Gold,NA,NA
25562533,Iron_oxide,946.5408805,Liver
25581331,Silica,NA,Lung
25630756,Gold,NA,NA
25633047,Silica,NA,NA
25645959,Silica,NA,NA
25652893,Gold,NA,NA
25652902,Iron_oxide,NA,Thyroid gland
25655680,Iron_oxide,NA,NA
25670342,Iron_oxide,NA,NA
25678124,Silica,NA,NA
25688714,Silica,NA,NA
25695371,Iron_oxide,NA,NA
25706857,Hybrid,411.4285714,Lung
25731982,Iron_oxide,62.96296296,Liver
25755105,Gold,10.8,Kidney
25756781,Silica,NA,Spleen
25765172,Silica,NA,NA
25770995,Silica,NA,NA
25771010,Hybrid,NA,NA
25776964,Silica,12.5,Liver
25800697,Gold,NA,NA
25804427,Gold,NA,NA
25843647,Silica,NA,NA
25888279,Gold,96.7,Liver
25909483,Gold,NA,NA
25916546,Iron_oxide,NA,NA
25921793,Iron_oxide,NA,NA
25924183,Gold,NA,NA
25933697,Gold,183.5,Liver
25934288,Gold,NA,NA
25941780,Silica,NA,NA
25946668,Gold,12.9,Spleen
25966745,Silica,NA,NA
25970038,Gold,47.8,Liver
25975831,Gold,NA,NA
25985153,Hybrid,446.3553531,Spleen
25988725,Gold,78.4,Liver
25988726,Silica,24.8,Spleen
26010660,Hybrid,1808.5,Liver
26022791,Iron_oxide,NA,NA
26031508,Iron_oxide,NA,NA
26035730,Iron_oxide,692.2682813,Spleen
26039633,Gold,NA,NA
