Subtype,Route,Sub-route,Shape,Tumor_model,Cancer_type,Tumor_Vol_Reduction_(%)
Silica,Systemic,IV,Spherical,Allograft orthotopic,Breast,62.27045075
Silica,Systemic,IV,Spherical,Allograft heterotopic,Liver,86.59574468
Silica,Systemic,IV,Spherical,Allograft heterotopic,Cervix,89.05687545
Silica,Systemic,IV,Rod,Allograft heterotopic,Breast,95.65217391
Silica,Systemic,IV,Spherical,Allograft heterotopic,Breast,98.79518072
Silica,Systemic,IV,Spherical,Allograft heterotopic,Liver,96.02409639
Silica,Systemic,IV,Spherical,Xenograft heterotopic,Liver,99.15966387
Silica,Systemic,IV,Spherical,Allograft orthotopic,Breast,72.05588822
Silica,Systemic,IV,Spherical,Xenograft heterotopic,Other,99.47368421
Silica,Systemic,IV,Spherical,Xenograft heterotopic,Breast,31.14754098
Silica,Systemic,IV,Spherical,Allograft heterotopic,Other,97.19101124
Silica,Systemic,IV,Spherical,Xenograft heterotopic,Lung,81.64146868
Silica,Systemic,IV,Other,Xenograft heterotopic,Cervix,95.45454545
Silica,Systemic,IV,Spherical,Xenograft heterotopic,Breast,87.80548628
Silica,Systemic,IV,Spherical,Xenograft heterotopic,Liver,92.83727399
Silica,Systemic,IV,Spherical,Xenograft heterotopic,Liver,99.99363057
Silica,Systemic,IV,Spherical,Xenograft heterotopic,Liver,90.52880821
Silica,Local,Intratumoral,Spherical,Xenograft heterotopic,Lung,88.5325756
Silica,Systemic,IV,Rod,Xenograft heterotopic,Liver,88.88888889
Silica,Systemic,IV,Spherical,Xenograft heterotopic,Colon,88.94786138
Silica,Systemic,IV,Spherical,Xenograft heterotopic,Breast,84.44444444
Silica,Systemic,IV,Spherical,Xenograft orthotopic,Breast,73.4375
Silica,Systemic,IV,Spherical,Xenograft heterotopic,Cervix,60.49180328
Silica,Systemic,IV,Spherical,Xenograft heterotopic,Liver,71.0467706
Silica,Systemic,IV,Spherical,Xenograft heterotopic,Cervix,59.70695971
Silica,Systemic,IV,Spherical,Xenograft orthotopic,Cervix,77.08333333
Silica,Local,Intratumoral,Spherical,Xenograft heterotopic,Cervix,99.3006993
Silica,Systemic,IV,Spherical,Xenograft heterotopic,Liver,60.17699115
Silica,Systemic,IV,Spherical,Xenograft heterotopic,Liver,81.70289855
Silica,Local,Intratumoral,Spherical,Allograft orthotopic,Breast,93.22033898
Silica,Systemic,IV,Spherical,Allograft heterotopic,Lung,79.19342409
Silica,Systemic,IV,Spherical,Xenograft heterotopic,Cervix,88.9010989
Silica,Systemic,IV,Spherical,Xenograft heterotopic,Cervix,74.46969697
Silica,Systemic,IV,Spherical,Xenograft heterotopic,Liver,94.30051813
Silica,Systemic,IP,Spherical,Xenograft heterotopic,Pancreas,87.20207254
Silica,Systemic,IV,Spherical,Allograft heterotopic,Cervix,93.09551208
Silica,Systemic,IV,Spherical,Xenograft heterotopic,Breast,81.48148148
Silica,Systemic,Sub-cutaneous,Spherical,Xenograft heterotopic,Liver,77.80172414
Silica,Local,Intratumoral,Spherical,Xenograft orthotopic,Skin,96.76044331
Silica,Systemic,IV,Spherical,Xenograft heterotopic,Pancreas,94.02985075
Silica,Systemic,IV,Spherical,Xenograft heterotopic,Lung,94.11764706
Silica,Local,Intratumoral,Spherical,Xenograft heterotopic,Cervix,96.7032967
Silica,Systemic,IV,Spherical,Allograft heterotopic,Breast,74.64788732
Silica,Systemic,IV,Other,Allograft heterotopic,Breast,93.5483871
Silica,Systemic,IV,Spherical,Xenograft heterotopic,Breast,91.80327869
Silica,Systemic,IV,Spherical,Allograft heterotopic,Liver,84.50704225
Silica,Systemic,IV,Spherical,Xenograft heterotopic,Breast,96.875
Silica,Systemic,IV,Other,Xenograft heterotopic,Cervix,91.01123596
Silica,Local,Intratumoral,Other,Xenograft heterotopic,Breast,85.45454545
Silica,Systemic,IV,Spherical,Xenograft heterotopic,Breast,99.38271605
Silica,Systemic,IV,Spherical,Xenograft heterotopic,Cervix,47.61904762
Silica,Local,Intratumoral,Spherical,Xenograft heterotopic,Breast,77.32997481
Silica,Systemic,IV,Spherical,Xenograft orthotopic,Breast,55.98705502
Silica,Systemic,IV,Spherical,Xenograft heterotopic,Liver,63.24461343
Silica,Systemic,IP,Spherical,Xenograft heterotopic,Breast,99.88636364
Silica,Local,Intratumoral,Spherical,Xenograft heterotopic,Lung,73.28519856
Silica,Systemic,IV,Spherical,Xenograft orthotopic,Brain,98.86363636
Silica,Local,Intratumoral,Spherical,Allograft heterotopic,Breast,100
Silica,Systemic,IV,Spherical,Xenograft heterotopic,Prostate,99.98091603
Silica,Local,Intratumoral,Spherical,Allograft orthotopic,Skin,74.74747475
Silica,Systemic,IV,Rod,Xenograft heterotopic,Breast,99.99438202
Silica,Systemic,IV,Spherical,Allograft orthotopic,Brain,63.367917
Silica,Systemic,IV,Spherical,Allograft heterotopic,Liver,79.00355872
Silica,Systemic,IV,Spherical,Allograft heterotopic,Other,88.50220264
Silica,Local,Intratumoral,Spherical,Allograft heterotopic,Liver,91.65964617
Silica,Systemic,IP,Spherical,Xenograft heterotopic,Breast,55
Silica,Systemic,IV,Spherical,Xenograft heterotopic,Liver,69.13580247
Silica,Local,Intratumoral,Spherical,Xenograft heterotopic,Other,92.61603376
Silica,Systemic,IV,Rod,Allograft heterotopic,Liver,87.97214037
Silica,Local,Intratumoral,Spherical,Allograft heterotopic,Breast,75.62724014
Silica,Systemic,IV,Spherical,Xenograft heterotopic,Cervix,96.83286297
Silica,Local,Intratumoral,Spherical,Allograft heterotopic,Other,100
Silica,Local,Intratumoral,Spherical,Xenograft heterotopic,Brain,93.17774483
Silica,Local,Intratumoral,Spherical,Xenograft heterotopic,Cervix,67.68953069
Silica,Local,Intratumoral,Spherical,Allograft heterotopic,Breast,99.7458878
Silica,Systemic,IV,Spherical,Allograft orthotopic,Breast,64.22908109
Silica,Systemic,IV,Other,Xenograft heterotopic,Breast,91.81434599
Silica,Local,Intratumoral,Spherical,Xenograft heterotopic,Lung,97.50005889
